Date,Open,High,Low,Close,Adj Close,Volume
2018-03-08,49200,49480,48080,49200,44067.91016,19463650
2018-03-09,49440,50540,49240,49740,44551.57422,14304400
2018-03-12,50560,50780,49580,49740,44551.57422,8688950
2018-03-13,50760,51660,50360,51660,46271.28906,20098700
2018-03-14,51020,52000,51000,51760,46360.87109,12713250
2018-03-15,52000,52020,51020,51540,46163.8125,8882450
2018-03-16,51220,51420,50240,51140,45805.54297,12184900
2018-03-19,50620,51340,50440,50740,45447.26563,8218850
2018-03-20,50700,51200,50100,51200,45859.27344,8193250
2018-03-21,51780,51780,51060,51060,45733.88281,8905200
2018-03-22,51060,51780,51040,51780,46378.77734,8454100
2018-03-23,50340,50720,49600,49720,44533.66406,14854950
2018-03-26,49420,50280,49040,50280,45035.25391,10057750
2018-03-27,50320,50460,49080,49980,44766.54297,11874000
2018-03-28,49100,49100,48340,48700,43620.05859,15159450
2018-03-29,48700,49560,48320,49040,44246.21875,10067000
2018-03-30,49080,49900,49080,49220,44408.62109,7777100
2018-04-02,49000,49220,48500,48540,43795.09375,7115650
2018-04-03,47880,48140,47280,48120,43416.14453,12768250
2018-04-04,48160,48260,46920,46920,42333.45703,12384200
2018-04-05,47400,49380,47340,48740,43975.54688,13245600
2018-04-06,48000,48580,47400,48400,43668.78125,12532700
2018-04-09,48260,49440,48200,49200,44390.57813,9950400
2018-04-10,48540,49220,48040,48880,44101.86328,10984350
2018-04-11,49900,49900,48600,48860,44083.80859,10051100
2018-04-12,49440,49440,48880,49000,44210.13281,12466250
2018-04-13,49600,50180,49400,49800,44931.92578,10278300
2018-04-16,50320,50600,49860,50340,45419.13672,7877450
2018-04-17,50240,50540,49820,49980,45094.33594,7772000
2018-04-18,51000,51360,50580,51360,46339.42969,13462600
2018-04-19,52000,52980,51540,52780,47620.625,17190550
2018-04-20,51800,52260,51420,51620,46574.01953,11761000
2018-04-23,51000,52080,51000,51900,46826.65234,11619000
2018-04-24,51840,51860,50080,50460,45527.41016,15770300
2018-04-25,49220,50500,49220,50400,45473.27734,16614600
2018-04-26,50420,52160,50400,52140,47043.1875,18046550
2018-04-27,53380,53640,52440,53000,47819.11719,30310800
2018-04-30,53000,53000,53000,53000,47819.11719,0
2018-05-02,53000,53000,53000,53000,47819.11719,0
2018-05-03,53000,53000,53000,53000,47819.11719,0
2018-05-04,53000,53900,51800,51900,46826.65234,39565391
2018-05-08,52600,53200,51900,52600,47458.22266,23104720
2018-05-09,52600,52800,50900,50900,45924.39453,16128305
2018-05-10,51700,51700,50600,51600,46555.97266,13905263
2018-05-11,52000,52200,51200,51300,46285.29297,10314997
2018-05-14,51000,51100,49900,50100,45202.60156,14909272
2018-05-15,50200,50400,49100,49200,44390.57813,18709146
2018-05-16,49200,50200,49150,49850,44977.03906,15918683
2018-05-17,50300,50500,49400,49400,44571.03516,10365440
2018-05-18,49900,49900,49350,49500,44661.24609,6706570
2018-05-21,49650,50200,49100,50000,45112.375,9020998
2018-05-23,50600,52000,50400,51800,46736.42578,17095490
